nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116201,756102,América
Colombia,51049498,1141748,América
México,130262216,1964375,América
Perú,33359418,1285216,América
Venezuela,28199867,916445,América
Uruguay,3473727,176215,América
Paraguay,7353038,406752,América
Bolivia,12079472,1098581,América
Alemania,83149300,357022,Europa
Francia,67413000,643801,Europa
España,47431256,505990,Europa
Italia,59554023,301340,Europa
Reino Unido,67886011,242900,Europa
Portugal,10298252,92212,Europa
Polonia,37846611,312696,Europa
Países Bajos,17908860,41543,Europa
Suecia,10415811,450295,Europa
Noruega,5421241,385207,Europa
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Japón,125800000,377975,Asia
Indonesia,273523615,1904569,Asia
Pakistán,220892340,881913,Asia
Bangladesh,164689383,147570,Asia
Rusia,145934462,17098242,Asia
Turquía,84339067,783562,Asia
Arabia Saudita,34813871,2149690,Asia
Vietnam,97338579,331212,Asia
Nigeria,206139589,923768,África
Etiopía,117876227,1104300,África
Egipto,102334404,1001449,África
Tanzania,61498437,945087,África
Sudáfrica,59308690,1219090,África
Kenia,53771296,580367,África
Ghana,31072940,238533,África
Marruecos,36910560,446550,África
Mozambique,32163047,801590,África
Madagascar,27691018,587041,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,270467,Oceanía
Papúa Nueva Guinea,8947024,462840,Oceanía
Fiyi,896445,18274,Oceanía
Samoa,198414,2842,Oceanía
Estados Unidos,331002651,9833517,América
Canadá,37742154,9984670,América
Cuba,11326616,109884,América
Ecuador,17643054,283561,América
Guatemala,17915568,108889,América
